pair_key,metal_guess,ox_file,red_file,selected_atom_count,selected_atom_rmsd,metal_center_rmsd,donor_atom_rmsd,donor_N_rmsd,oxygen_atom_rmsd,phenoxy_O_rmsd,alkoxide_O_rmsd,monomer_O_rmsd,ferrocene_Fe_rmsd,ferrocene_C_rmsd,monomer_C_rmsd,mean_metal_to_any_donor_ox,mean_metal_to_any_donor_red,mean_metal_to_any_donor_change,mean_metal_to_donor_N_ox,mean_metal_to_donor_N_red,mean_metal_to_donor_N_change,mean_metal_to_any_oxygen_ox,mean_metal_to_any_oxygen_red,mean_metal_to_any_oxygen_change,mean_metal_to_phenoxy_O_ox,mean_metal_to_phenoxy_O_red,mean_metal_to_phenoxy_O_change,mean_metal_to_alkoxide_O_ox,mean_metal_to_alkoxide_O_red,mean_metal_to_alkoxide_O_change,mean_metal_to_monomer_O_ox,mean_metal_to_monomer_O_red,mean_metal_to_monomer_O_change,metal_to_Fe_ox,metal_to_Fe_red,metal_to_Fe_change
Al-salfen-CL-TS1,Al,Al-salfen-ox-CL-TS1.out,Al-salfen-red-CL-TS1.out,25,0.10970153059642365,0.0574266797940588,0.06971324121132591,0.06971324121132591,0.06688551389159761,0.061061599743605886,0.05336058752135873,0.07766585355094684,0.03297923914043591,0.13866284719653751,0.10963052178712579,2.0808925617962757,2.0648432607306466,-0.016049301065629074,2.0808925617962757,2.0648432607306466,-0.016049301065629074,2.18007781317534,2.1990860744788017,0.01900826130346145,1.9020636605108145,1.8855778237196932,-0.016485836791121367,1.9403977569266566,1.9639184414885968,0.02352068456194023,2.577931993964208,2.630178141733013,0.052246147768804985,3.8783049685430875,3.9082085950712764,0.029903626528188898
Al-salfen-TMC-TS1,Al,Al-salfen-ox-TMC-TS1.out,Al-salfen-red-TMC-TS1.out,24,0.989964484792243,0.08889608560597305,0.05666436401976622,0.05666436401976622,1.3465143429998152,0.058613837430178437,0.1578194897420286,1.9014754885094127,0.042028437460598526,0.057642605962273295,1.774316050486903,2.0966939814105654,2.0842016659256797,-0.012492315484885719,2.0966939814105654,2.0842016659256797,-0.012492315484885719,2.409828585674227,2.434488534624985,0.02465994895075818,1.8768026641330455,1.8602975588120894,-0.01650510532095617,1.8965298177260488,1.9789569169428625,0.08242709921681368,2.936278789351073,2.969126391060957,0.03284760170988399,3.8999538607292523,3.939608865113769,0.03965500438451652
Al-thiolfan-star-CL-TS1,Al,Al-thiolfan-star-ox-CL-TS1.out,Al-thiolfan-star-red-CL-TS1.out,25,1.4925442199792984,0.9870146175398539,1.2885258841226566,,1.4361902093348753,1.8136141585398557,0.9081043711570301,1.206268089174169,0.9002782725258922,1.733161427760843,1.3060891081000692,3.672269041318485,2.6414501000769284,-1.0308189412415567,,,,2.0734908496311824,2.1834676607344403,0.10997681110325797,1.7516212179788835,1.8252469112285836,0.07362569324970014,1.8281305369937346,1.9475737950645156,0.11944325807078093,2.518040637602205,2.6596353430752586,0.14159470547305375,6.013831733070771,4.534721894276317,-1.4791098387944537
Al-thiolfan-star-LA-TS1,Al,Al-thiolfan-star-ox-LA-TS1.out,Al-thiolfan-star-red-LA-TS1.out,27,1.1569525242184837,0.48629719900410673,0.6936612374958486,,0.45317357309164247,0.432897764377836,0.6541004058653487,0.3984079949250055,0.20884216811497164,0.329611948702942,2.3228617640212073,3.5883861965610233,3.205473265488748,-0.3829129310722754,,,,2.9627548167383564,3.029015122664576,0.06626030592621968,1.7442252225839385,1.7604978172125065,0.016272594628568005,1.8183893295279203,1.85302339424439,0.03463406471646979,3.8581109856181737,3.957271707495658,0.09916072187748437,5.596158906120161,5.232433347637597,-0.3637255584825638
Al-thiolfan-star-VL-TS1,Al,Al-thiolfan-star-ox-VL-TS1.out,Al-thiolfan-star-red-VL-TS1.out,24,1.1158119574016772,0.8224612623726995,0.9276308222520993,,0.833260058364326,0.7264280357931775,1.1950776228099247,0.7028533692787252,0.7519158025202762,0.9830372488096382,1.6602903388243309,3.716824779813243,3.334454527476482,-0.38237025233676114,,,,2.056796463465117,2.1656956786692554,0.10889921520413859,1.7491936259022505,1.76277028568129,0.013576659779039435,1.8542861471720054,1.891790497328391,0.037504350156385646,2.4656544591745386,2.7055736623276525,0.23991920315311388,6.063846210590602,5.090719699060339,-0.9731265115302623
Ti-salfan-H2-CL-TS1,Ti,Ti-salfan-H2-ox-CL-TS1.out,Ti-salfan-H2-red-CL-TS1.out,26,1.3927867783887078,0.7587875910553974,0.8937525225540518,0.8937525225540518,1.5766272966857589,0.4886123558351865,1.2586462383236037,2.3736740531174374,0.7844489145433583,0.8655684946661387,2.051053161381936,3.9743721836565538,2.9570194894613975,-1.0173526941951563,3.9743721836565538,2.9570194894613975,-1.0173526941951563,2.167155606246436,2.229697424364909,0.06254181811847292,1.8346626387256326,1.876127846621344,0.0414652078957114,1.9504205724737522,1.9856123195251183,0.035191747051366074,2.716383607539923,2.827352106948263,0.1109684994083402,5.840888332946368,4.365073839574881,-1.4758144933714865
Ti-salfan-H2-LA-TS1,Ti,Ti-salfan-H2-ox-LA-TS1.out,Ti-salfan-H2-red-LA-TS1.out,28,1.5880703061788932,0.7643488050881525,1.0473126941894835,1.0473126941894835,1.7593829925875164,0.5865047242333817,0.9969042178642495,2.349883853223518,0.8753667931784866,0.9980903151438918,2.3218379774196616,3.971674360063955,2.92262159338405,-1.049052766679905,3.971674360063955,2.92262159338405,-1.049052766679905,3.0949094904626198,3.051082119224695,-0.043827371237924684,1.8279841468416362,1.87495777086431,0.04697362402267369,1.9424715039170026,1.9680081280412582,0.025536624124255614,4.3045911555459195,4.180681288996605,-0.12390986654931435,5.829714172055264,4.301731722000107,-1.5279824500551573
Ti-salfen-CL-TS1,Ti,Ti-salfen-ox-CL-TS1.out,Ti-salfen-red-CL-TS1.out,26,1.538637249031122,1.019125187894951,2.665602533075573,2.665602533075573,1.2640961345880624,1.8119222586257884,1.0643863238627038,0.614684142232336,0.3741914827835011,1.6728404393050644,1.196621944270869,3.159087664406287,2.9883814468846728,-0.17070621752161408,3.159087664406287,2.9883814468846728,-0.17070621752161408,2.239643134797825,2.2112006450511292,-0.02844248974669572,1.9511984016119557,1.9164263680286437,-0.034772033583311934,1.943632339743989,1.957486079097738,0.013853739353749006,2.8240986630375304,2.759689488027006,-0.06440917501052423,4.385843858281551,4.339995372888432,-0.04584848539311892
Ti-salfen-LA-TS1,Ti,Ti-salfen-ox-LA-TS1.out,Ti-salfen-red-LA-TS1.out,28,2.217936120218198,0.7652075397146472,1.8635662629272765,1.8635662629272765,1.9919724327810917,1.35672975135,1.8359012581951848,2.3087407437603717,0.8217097004299666,2.20171731342021,2.866850921168833,3.2879682217845856,4.457853331771468,1.1698851099868826,3.2879682217845856,4.457853331771468,1.1698851099868826,3.024344022848111,2.986515227096284,-0.03782879575182729,1.988703675643149,1.8372157015789927,-0.15148797406415637,1.9528675058331744,1.894671886732872,-0.058195619100302354,4.0779024549580605,4.107086660036636,0.02918420507857533,4.646509462984553,5.75431216795196,1.1078027049674075
Ti-salfen-TMC-TS1,Ti,Ti-salfen-ox-TMC-TS1.out,Ti-salfen-red-TMC-TS1.out,25,1.589768226371617,0.8545712807649224,1.8692285591841074,1.8692285591841074,1.3559093932570232,1.577676977814864,0.9675179247724311,1.4164651798158696,0.8662904182681537,1.7660014851396049,1.6323486859183323,3.143507244207041,4.520941993532913,1.3774347493258725,3.143507244207041,4.520941993532913,1.3774347493258725,2.4192220845048786,2.385408395194058,-0.03381368931082074,1.9467666186153523,1.8314679697334002,-0.11529864888195207,1.953382067941653,1.9436059075985055,-0.009776160343147433,3.0447524061400473,3.0492370038981975,0.004484597758150244,4.372338128451184,5.802283143561162,1.4299450151099782
Ti-thiolfan-star-LA-TS1,Ti,Ti-thiolfan-star-ox-LA-TS1.out,Ti-thiolfan-star-red-LA-TS1.out,28,2.066588271322575,1.4238287258804732,1.498609370465175,,2.4001708011897107,1.3907814432536951,2.673953824672112,2.6418721979078765,1.0976723501419023,1.968866568312072,2.1216067328036035,2.895553785120443,2.8783019414342714,-0.017251843686171497,,,,2.9164125367017384,3.079039538320506,0.16262700161876742,1.9429146726327042,1.893108453306109,-0.049806219326595125,1.8920775994166645,2.049877351766331,0.1577997523496666,3.915328937378792,4.186586174104791,0.2712572367259991,4.914203956654728,4.790048098576151,-0.1241558580785771
Ti-thiolfan-star-TMC-TS1,Ti,Ti-thiolfan-star-ox-TMC-TS1.out,Ti-thiolfan-star-red-TMC-TS1.out,25,0.2609094459300892,0.058072832423444784,0.18731615861364778,,0.1662246579230404,0.20876084246213295,0.14166034611361383,0.1484553494021753,0.11557087993709575,0.12724520400912356,0.5611621485661104,3.149862319000891,3.058892583055422,-0.09096973594546931,,,,2.383488503462577,2.4121754632646595,0.02868695980208269,1.883068881121118,1.895080504007886,0.012011622886767936,1.9061408741662145,1.9148421227697119,0.008701248603497413,3.0353333378877916,3.088460996432474,0.053127658544682266,4.1339524793761235,4.304944847357397,0.17099236798127304
Ti-thiolfan-star-VL-TS1,Ti,Ti-thiolfan-star-ox-VL-TS1.out,Ti-thiolfan-star-red-VL-TS1.out,25,0.2482720345240035,0.07710187704813057,0.4000565492352683,,0.16072281612246578,0.22010539443597796,0.16649514691976416,0.036447939027557316,0.06344544090506346,0.30437500337133866,0.1609237092986088,3.3626431489801574,3.4343378141326424,0.07169466515248502,,,,2.192059157906463,2.2141860478263435,0.022126889919880544,1.9177045382993931,1.9069372467715873,-0.010767291527805867,1.907082388246455,1.927104528584222,0.02002214033776717,2.7513905471735414,2.808516368123221,0.05712582094967944,5.076249858674611,5.012659198195505,-0.06359066047910655
Y-salfen-CL-TS1,Y,Y-salfen-ox-CL-TS1.out,Y-salfen-red-CL-TS1.out,25,0.2522371931757488,0.1445292431227245,0.25583195333874054,0.25583195333874054,0.2661742912789497,0.2820493408123984,0.18865220513856876,0.2824450839368551,0.14336276498502828,0.20965806801040876,0.3226039000130194,2.505166602557634,2.487368123717481,-0.017798478840152843,2.505166602557634,2.487368123717481,-0.017798478840152843,2.5018051737408213,2.5417779521976773,0.039972778456855984,2.1900866425751886,2.1768980944927776,-0.013188548082410989,2.251293336215874,2.279792338926728,0.02849900271085426,2.9387796236689283,3.037650616538052,0.0988709928691236,4.0680214631019345,4.059083861725575,-0.008937601376359794
Zr-salfan-CL-TS1,Zr,Zr-salfan-ox-CL-TS1.out,Zr-salfan-red-CL-TS1.out,26,0.3339385649073844,0.2509109177732231,0.5615440395883667,0.5615440395883667,0.29025165379695594,0.3466288487873326,0.31738751647276486,0.17847037056952314,0.06946683369477825,0.35658715592276047,0.2658080805533155,3.06976927536979,2.5449716093912675,-0.5247976659785225,3.06976927536979,2.5449716093912675,-0.5247976659785225,2.3105207813160953,2.363577913827729,0.053057132511633576,2.0178959767975275,2.063110631959649,0.04521465516212153,2.104818609426852,2.136077243697371,0.031258634270519,2.808847757723907,2.891545865826166,0.0826981081022593,4.060503535525367,3.9306549341987527,-0.12984860132661424
Zr-salfan-H2-CL-TS1,Zr,Zr-salfan-H2-ox-CL-TS1.out,Zr-salfan-H2-red-CL-TS1.out,26,1.332931429120416,0.7972620335195209,0.8849767868211709,0.8849767868211709,1.4816870337157957,1.0131939648776578,0.9903553684335695,2.139818597777588,0.2737271367549645,0.6381955372659643,2.108400883295934,2.954771101695238,2.5675928788365114,-0.3871782228587266,2.954771101695238,2.5675928788365114,-0.3871782228587266,2.347733003707859,2.4273730347733795,0.07964003106552031,2.0094377104018406,2.0604916021521706,0.05105389175033004,2.08248999504566,2.1455172642476876,0.06302726920202772,2.9512713056760767,3.0761102379202794,0.12483893224420273,4.148251740097869,4.358648156725432,0.21039641662756292
Zr-salfen-CL-TS1,Zr,Zr-salfen-ox-CL-TS1.out,Zr-salfen-red-CL-TS1.out,26,1.3275164221750402,0.7414401091646943,0.7125525837263688,0.7125525837263688,1.3789691058091091,1.6450346248261163,1.2178507888794203,1.2310028121320005,0.23027824420969759,1.5634338096579938,1.1796175026180644,2.3898764176227254,2.427165420594201,0.037289002971475416,2.3898764176227254,2.427165420594201,0.037289002971475416,2.4182805965068828,2.4155829651405116,-0.0026976313663711338,2.101247889947556,2.064695207954777,-0.03655268199277906,2.094823616855657,2.1481362008897085,0.05331258403405137,3.0587702827174352,3.0339174865770486,-0.0248527961403866,3.8391587039781254,4.09547179907346,0.2563130950953343
Zr-salfen-LA-TS1,Zr,Zr-salfen-ox-LA-TS1.out,Zr-salfen-red-LA-TS1.out,28,2.1398595783374534,0.794081464963207,3.2928150118918924,3.2928150118918924,2.3495530986717132,3.0621232923971697,2.574419609029194,1.7431815270814575,0.7561717676303024,2.0637773776699566,1.7592318942360974,2.416291835455079,2.419630077906111,0.003338242451031981,2.416291835455079,2.419630077906111,0.003338242451031981,3.2138795454770275,3.245736412834021,0.03185686735699367,2.080628280610336,2.132978891431583,0.052350610821247034,2.1252294810877954,2.1251469859217282,-8.249516606717577e-05,4.324830210104989,4.362409886991387,0.037579676886398516,3.9568363925698264,4.081562147541184,0.12472575497135718
