pair_key,metal_guess,ox_file,red_file,selected_atom_count,selected_atom_rmsd,metal_center_rmsd,donor_atom_rmsd,donor_N_rmsd,oxygen_atom_rmsd,phenoxy_O_rmsd,alkoxide_O_rmsd,monomer_O_rmsd,ferrocene_Fe_rmsd,ferrocene_C_rmsd,monomer_C_rmsd,mean_metal_to_any_donor_ox,mean_metal_to_any_donor_red,mean_metal_to_any_donor_change,mean_metal_to_donor_N_ox,mean_metal_to_donor_N_red,mean_metal_to_donor_N_change,mean_metal_to_any_oxygen_ox,mean_metal_to_any_oxygen_red,mean_metal_to_any_oxygen_change,mean_metal_to_phenoxy_O_ox,mean_metal_to_phenoxy_O_red,mean_metal_to_phenoxy_O_change,mean_metal_to_alkoxide_O_ox,mean_metal_to_alkoxide_O_red,mean_metal_to_alkoxide_O_change,mean_metal_to_monomer_O_ox,mean_metal_to_monomer_O_red,mean_metal_to_monomer_O_change,metal_to_Fe_ox,metal_to_Fe_red,metal_to_Fe_change
Al-thiolfan-star-CL,Al,Al-thiolfan-star-ox-CL.out,Al-thiolfan-star-red-CL.out,25,1.7355284009793726,1.3639627804223358,1.5377741670318075,,2.2719574010042702,2.5694056111416477,1.9237287003333634,2.1100390586754227,0.8028857651280259,1.1446846614859476,2.2043506249779736,3.6363623153763514,2.6305308824895723,-1.005831432886779,,,,2.2061498143226266,2.272081170671948,0.06593135634932157,1.767439701557835,1.8637261640154485,0.09628646245761363,1.7305012654395837,1.7847455201002744,0.054244254660690716,2.8826842015289404,2.924104002614285,0.0414198010853446,5.9583247199853915,4.354279312565743,-1.6040454074196484
Ti-salfan-H2-CL,Ti,Ti-salfan-H2-ox-CL.out,Ti-salfan-H2-red-CL.out,26,1.1438270201160408,0.8108852368295377,1.0580449144064556,1.0580449144064556,1.2476248298697477,0.756370421072623,1.3476722555881657,1.5104259087975416,0.8566276059518524,1.0487684930360857,1.2940906028140342,3.974457133739985,2.9259536063675626,-1.0485035273724224,3.974457133739985,2.9259536063675626,-1.0485035273724224,2.315699117215866,2.3957207826624125,0.08002166544654665,1.8383404802192453,1.8843257502875224,0.04598527006827702,1.8463591299967583,1.8818509614404422,0.03549183144368384,3.2623977414315934,3.4209856362592737,0.1585878948276802,5.855023274211042,4.324467649372464,-1.5305556248385788
Ti-salfen-CL,Ti,Ti-salfen-ox-CL.out,Ti-salfen-red-CL.out,26,3.0321792348794943,2.0025597330021903,3.9318563120764374,3.9318563120764374,2.894275542389318,3.905679252563769,2.3451240102136746,2.09202191638405,0.8873391910556037,3.2765954517546803,2.760088049477352,3.622573245400015,3.1444213844323743,-0.47815186096764073,3.622573245400015,3.1444213844323743,-0.47815186096764073,2.2804562567659428,2.289881751685747,0.009425494919804045,1.9741595651670116,1.959319287524309,-0.01484027764270257,1.8329812126339373,1.8618425834839756,0.02886137085003826,3.03422799249688,3.048483384048956,0.014255391552076002,4.916000438904477,4.564863447269919,-0.3511369916345579
Zr-salfan-CL,Zr,Zr-salfan-ox-CL.out,Zr-salfan-red-CL.out,26,1.0365007476650252,1.3050567866429774,0.8151975031020432,0.8151975031020432,1.2494223824641428,1.1384779105000193,1.4981433482660185,1.0689262952874334,0.3095583545186601,0.6883674666679825,1.3353994307470978,3.081863683068243,2.5211660899404844,-0.5606975931277587,3.081863683068243,2.5211660899404844,-0.5606975931277587,2.4945422931894625,2.4750057228775133,-0.01953657031194922,2.0221754966644045,2.096697115416794,0.0745216187523896,2.001522276847486,2.0638911647206486,0.06236888787316275,3.4599291060564976,3.2644288884950967,-0.1955002175614009,4.015228322403721,3.839521412247886,-0.17570691015583506
Zr-salfan-H2-CL,Zr,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-red-CL.out,26,1.5671041391361573,0.7124106157022617,1.0432958422391452,1.0432958422391452,1.6557536867891829,0.9458573442576881,1.00696680773286,2.513151914705118,0.30188501549181673,0.7940905319492845,2.527208101222838,2.9676688200926624,2.56844163164393,-0.3992271884487324,2.9676688200926624,2.56844163164393,-0.3992271884487324,2.471104793579393,2.55042187602197,0.07931708244257729,2.015738755164111,2.07082147912116,0.05508272395704905,2.0275969057974974,2.0274977588837295,-9.914691376788909e-05,3.3699787197765696,3.552946390061023,0.18296767028445338,4.103196198127869,4.372986385364811,0.2697901872369419
Zr-salfen-CL,Zr,Zr-salfen-ox-CL.out,Zr-salfen-red-CL.out,26,0.9001123777342572,0.6024224916591296,0.6215832176948289,0.6215832176948289,0.8045023555875773,0.9597565816537725,0.8447895212427194,0.5539585627180468,0.3477505645053649,1.0776230401180138,0.8478036813725303,2.453625938285783,2.4506172218945554,-0.0030087163912275727,2.453625938285783,2.4506172218945554,-0.0030087163912275727,2.3421272191612488,2.365359699447474,0.023232480286225154,2.097435986064305,2.10340328105252,0.005967294988215244,2.0212294340815458,2.029328874724724,0.008099440643178024,2.9077162373378957,2.9633469425651775,0.05563070522728175,3.7939533053870074,4.085324022547661,0.2913707171606532
Zr-thiolfan-star-CL,Zr,Zr-thiolfan-star-ox-CL.out,Zr-thiolfan-star-red-CL.out,26,1.2719566276545413,1.156858792046792,1.2145541107489561,,2.041795777982579,1.1333539971705189,2.8250809642207955,1.8003378182045053,0.3192523716550582,0.5795370056205876,1.245122223472644,3.5160841808259438,2.868731634446477,-0.6473525463794667,,,,2.4681694667718226,2.5260867589719425,0.057917292200119874,2.0453551109594983,2.08287504959271,0.03751993863321168,1.9719490073876087,2.021954815462147,0.05000580807453847,3.3872042819683603,3.47343041186097,0.08622612989260947,5.081378745262156,4.738772038856058,-0.342606706406098
