pair_key,metal_guess,ox_file,red_file,selected_atom_count,selected_atom_rmsd,metal_center_rmsd,donor_N_rmsd,relevant_O_rmsd,ferrocene_Fe_rmsd,mean_metal_to_donor_N_ox,mean_metal_to_donor_N_red,mean_metal_to_donor_N_change,mean_metal_to_relevant_O_ox,mean_metal_to_relevant_O_red,mean_metal_to_relevant_O_change,metal_to_Fe_ox,metal_to_Fe_red,metal_to_Fe_change
Al-salfan-H2-star,Al,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-red.out,7,1.6159572124011536,0.4177604645321596,2.0901102326749803,1.666808935186534,1.0162787667439968,2.576246932502638,2.17406521970091,-0.402181712801728,1.7495622466330678,1.8036452203089732,0.05408297367590542,4.0851163973773135,3.8487366263527307,-0.23637977102458274
Ti-salfen,Ti,Ti-salfen-ox.out,Ti-salfen-red.out,8,0.17718682250093434,0.04774106503625954,0.17287480794881332,0.20776517046289816,0.12823918502718998,2.2921913774931006,2.2820938745370456,-0.010097502956055049,1.8739989750473833,1.882187487165142,0.008188512117758728,3.8612354721039743,3.9981004005273553,0.13686492842338094
Zr-salfan,Zr,Zr-salfan-ox.out,Zr-salfan-red.out,8,0.12423953423038746,0.0568659566244135,0.14918733274704873,0.13027514460285905,0.0885990078608032,2.5865254469112617,2.4734928259658977,-0.11303262094536404,2.013413233776402,2.0394067512966596,0.02599351752025747,3.71959852692384,3.7499430348178624,0.03034450789402232
