dataset_group,file_name,structure_name,metal_guess,redox_state_guess,monomer_guess,ts_label_guess,atom_index,element,atom_role,notes,x,y,z
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,9,C,ferrocene_C,,0.248241,4.069545,-1.473022
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,10,C,ferrocene_C,,-0.449282,5.202495,-0.949654
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,11,C,ferrocene_C,,0.169345,5.577382,0.288322
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,6,Fe,ferrocene_Fe,,-0.519462,3.652149,0.370781
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,68,Ti,metal_center,,-0.869155,-1.131355,-0.707581
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,71,C,monomer_C,,-5.149933,-2.017595,-1.210848
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,72,C,monomer_C,,-4.422958,-0.745292,-0.712122
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,73,C,monomer_C,,-6.430001,-2.340377,-0.436387
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,74,C,monomer_C,,-6.234427,-2.545599,1.070286
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,75,C,monomer_C,,-5.662098,-1.345325,1.810068
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,86,C,monomer_C,,-3.625005,-0.99821,0.529764
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,87,O,monomer_O,,-4.200031,-1.243771,1.693486
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,88,O,monomer_O,,-2.378777,-1.011605,0.538052
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,16,O,phenoxy_O,,0.825219,-0.889581,-1.693148
ground_states,Ti-salfen-ox-CL.out,Ti-salfen-ox-CL,Ti,ox,CL,,24,O,phenoxy_O,,0.192219,-2.209724,0.559115
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,14,O,alkoxide_O,,1.319076,-0.293755,1.965327
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,32,O,alkoxide_O,,0.7106,0.257848,-1.651333
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,12,N,donor_N,,-0.613131,1.399393,0.785293
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,13,N,donor_N,,-2.869528,0.653195,-1.427674
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,1,C,ferrocene_C,,-3.83458,-1.109056,0.250235
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,2,C,ferrocene_C,,-3.725126,0.162382,-0.441411
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,3,C,ferrocene_C,,-4.733527,1.033472,0.117698
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,4,C,ferrocene_C,,-5.455602,0.316355,1.118511
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,5,C,ferrocene_C,,-4.902287,-1.005008,1.196371
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,7,C,ferrocene_C,,-1.716639,-0.132516,2.461538
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,8,C,ferrocene_C,,-1.577937,1.124689,1.768692
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,9,C,ferrocene_C,,-2.558051,2.035452,2.320235
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,10,C,ferrocene_C,,-3.270787,1.344884,3.351165
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,11,C,ferrocene_C,,-2.749378,0.012331,3.43762
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,6,Fe,ferrocene_Fe,,-3.462956,0.389398,1.56464
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,68,Ti,metal_center,,0.857394,-0.072866,0.165045
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,71,C,monomer_C,,4.593581,-1.062173,2.246244
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,72,C,monomer_C,,4.342114,-0.53733,0.813895
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,73,C,monomer_C,,5.721096,-2.093125,2.337582
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,74,C,monomer_C,,5.508595,-3.348423,1.483297
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,75,C,monomer_C,,5.361085,-3.083707,-0.010134
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,86,C,monomer_C,,3.517671,-1.498198,0.010862
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,87,O,monomer_O,,4.012923,-2.671897,-0.38985
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,88,O,monomer_O,,2.341487,-1.283468,-0.302246
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,16,O,phenoxy_O,,2.06076,1.566335,0.193582
ground_states,Ti-salfen-red-CL.out,Ti-salfen-red-CL,Ti,red,CL,,24,O,phenoxy_O,,-0.460231,-1.414942,0.039595
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,15,O,alkoxide_O,,1.774259,-1.171875,1.456422
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,33,O,alkoxide_O,,0.269256,-0.227081,-2.04637
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,12,N,donor_N,,-1.263501,2.294587,-0.917173
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,13,N,donor_N,,-0.775328,-2.28988,-0.066732
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,1,C,ferrocene_C,,-3.27799,-2.174567,-0.427116
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,2,C,ferrocene_C,,-1.924994,-2.254315,-0.876745
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,3,C,ferrocene_C,,-1.9285,-2.237799,-2.310503
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,4,C,ferrocene_C,,-3.293482,-2.2716,-2.744139
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,5,C,ferrocene_C,,-4.124218,-2.229694,-1.582275
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,7,C,ferrocene_C,,-3.460506,1.175333,-0.650248
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,8,C,ferrocene_C,,-2.325671,1.657269,-1.412267
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,9,C,ferrocene_C,,-2.548727,1.244998,-2.776825
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,10,C,ferrocene_C,,-3.912134,0.818721,-2.89364
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,11,C,ferrocene_C,,-4.484159,0.799373,-1.580118
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,6,Fe,ferrocene_Fe,,-2.981769,-0.525546,-1.706707
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,14,Zr,metal_center,,0.78507,-0.301375,-0.09522
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,76,C,monomer_C,,3.24374,-2.247315,-0.957039
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,77,C,monomer_C,,4.238318,-1.153217,-0.681336
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,79,C,monomer_C,,4.95845,-1.309836,0.677217
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,82,C,monomer_C,,5.054792,-3.875416,-1.111002
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,83,C,monomer_C,,6.095746,-2.332794,0.661642
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,86,C,monomer_C,,5.666779,-3.752632,0.276482
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,75,O,monomer_O,,2.018244,-2.045446,-1.021542
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,78,O,monomer_O,,3.635444,-3.497448,-1.155398
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,17,O,phenoxy_O,,1.710206,1.470346,-0.102227
ground_states,Zr-salfan-H2-ox-CL.out,Zr-salfan-H2-ox-CL,Zr,ox,CL,,25,O,phenoxy_O,,-0.793467,0.291785,1.039877
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,15,O,alkoxide_O,,1.707004,0.229474,2.36841
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,33,O,alkoxide_O,,1.822003,-0.808958,-0.711302
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,12,N,donor_N,,-1.001128,0.28183,-1.211502
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,13,N,donor_N,,0.047838,-1.814487,1.352898
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,1,C,ferrocene_C,,-1.485834,-3.715252,0.55299
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,2,C,ferrocene_C,,-0.287741,-2.919428,0.505259
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,3,C,ferrocene_C,,0.561438,-3.460396,-0.518335
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,4,C,ferrocene_C,,-0.109709,-4.584529,-1.099729
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,5,C,ferrocene_C,,-1.373039,-4.739459,-0.442483
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,7,C,ferrocene_C,,-2.750515,-1.553679,-1.491864
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,8,C,ferrocene_C,,-1.486662,-0.937631,-1.783001
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,9,C,ferrocene_C,,-0.867293,-1.663887,-2.853511
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,10,C,ferrocene_C,,-1.758317,-2.720832,-3.237511
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,11,C,ferrocene_C,,-2.917105,-2.656144,-2.394363
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,6,Fe,ferrocene_Fe,,-1.236743,-2.896282,-1.284021
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,14,Zr,metal_center,,0.873808,0.475545,0.532395
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,76,C,monomer_C,,4.295422,0.932654,0.378188
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,77,C,monomer_C,,4.609461,-0.120171,1.410621
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,79,C,monomer_C,,4.912369,-1.500655,0.790683
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,82,C,monomer_C,,6.623592,0.861521,-0.348947
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,83,C,monomer_C,,6.330285,-1.631859,0.227709
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,86,C,monomer_C,,6.700427,-0.585066,-0.829657
