dataset_group,file_name,structure_name,metal_guess,redox_state_guess,monomer_guess,ts_label_guess,atom_index,element,atom_role,notes,x,y,z
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,9,C,ferrocene_C,,-1.323164,2.28552,0.3161
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,10,C,ferrocene_C,,-1.126785,3.615243,-0.172806
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,11,C,ferrocene_C,,-0.600733,3.533728,-1.50373
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,6,Fe,ferrocene_Fe,,0.618762,2.555935,-0.195476
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,44,Al,metal_center,,-0.296302,-0.892455,1.192701
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,14,O,phenoxy_O,,-1.923372,-1.763261,1.287879
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,21,O,phenoxy_O,,0.628571,-2.365481,0.670211
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,25,O,alkoxide_O,,0.576631,-0.149514,2.152425
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,3,N,donor_N,,-1.642051,0.453888,0.843455
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,27,N,donor_N,,1.057826,0.81355,-0.749898
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,4,C,ferrocene_C,,-1.68256,1.82064,1.174102
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,5,C,ferrocene_C,,-2.689261,2.761256,0.745366
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,7,C,ferrocene_C,,-2.225273,4.07287,1.063309
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,9,C,ferrocene_C,,-0.944643,3.955178,1.687627
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,11,C,ferrocene_C,,-0.595646,2.569273,1.754926
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,28,C,ferrocene_C,,0.430367,1.975897,-1.248718
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,29,C,ferrocene_C,,0.91596,3.329051,-1.138357
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,31,C,ferrocene_C,,-0.050742,4.194049,-1.731936
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,33,C,ferrocene_C,,-1.135057,3.394535,-2.207516
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,35,C,ferrocene_C,,-0.856565,2.022984,-1.899848
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,1,Fe,ferrocene_Fe,,-0.889005,3.078691,-0.184163
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,51,Al,metal_center,,0.168202,-0.532133,0.481385
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,2,O,phenoxy_O,,-0.794953,-1.810012,-0.385421
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,26,O,phenoxy_O,,1.632632,-1.712081,0.237831
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,25,O,alkoxide_O,,0.469172,-0.199268,2.212785
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,3,N,donor_N,,-1.653022,0.458265,0.823207
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,27,N,donor_N,,1.065154,0.809945,-0.70192
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,4,C,ferrocene_C,,-1.680706,1.833697,1.13662
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,5,C,ferrocene_C,,-2.682047,2.78105,0.69763
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,7,C,ferrocene_C,,-2.207437,4.09285,1.015622
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,9,C,ferrocene_C,,-0.932463,3.962591,1.656411
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,11,C,ferrocene_C,,-0.602474,2.573463,1.737553
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,28,C,ferrocene_C,,0.420379,1.963364,-1.216476
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,29,C,ferrocene_C,,0.895792,3.325276,-1.129084
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,31,C,ferrocene_C,,-0.081129,4.17042,-1.744023
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,33,C,ferrocene_C,,-1.15344,3.343706,-2.213054
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,35,C,ferrocene_C,,-0.848978,1.980996,-1.891373
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,1,Fe,ferrocene_Fe,,-0.893465,3.084171,-0.200829
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,51,Al,metal_center,,0.170804,-0.544055,0.502097
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,2,O,phenoxy_O,,-0.792077,-1.771987,-0.442048
catalysts,Al-salfen-red.out,Al-salfen-red,Al,red,,,26,O,phenoxy_O,,1.631881,-1.716098,0.293118
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,26,O,alkoxide_O,,0.479036,-0.183416,2.992079
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,39,S,donor_S,,-2.272736,0.560512,1.260201
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,40,S,donor_S,,0.785696,-0.198577,-0.591513
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,1,C,ferrocene_C,,-2.787737,-0.928587,-1.15456
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,2,C,ferrocene_C,,-2.860277,-0.751232,0.271335
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,3,C,ferrocene_C,,-3.349992,-1.975598,0.852968
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,4,C,ferrocene_C,,-3.634666,-2.877887,-0.218264
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,5,C,ferrocene_C,,-3.291344,-2.235301,-1.449189
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,7,C,ferrocene_C,,-0.032059,-2.787877,-1.395799
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,8,C,ferrocene_C,,0.300599,-1.88313,-0.325049
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,9,C,ferrocene_C,,0.040505,-2.544547,0.929987
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,10,C,ferrocene_C,,-0.456378,-3.844155,0.623649
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,11,C,ferrocene_C,,-0.494974,-3.997522,-0.797684
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,6,Fe,ferrocene_Fe,,-1.6491,-2.352845,-0.230538
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,44,Al,metal_center,,0.843268,0.825934,1.664203
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,12,O,phenoxy_O,,2.605907,0.967976,1.440232
